KSL Albums	JP	HK	TW	US	RU
KSLA-0001	1200.0	48.0	160.0	7.99	89.0
KSLA-0002	300.0	12.0	40.0	1.98	30.0
KSLA-0003	1500.0	58.0	200.0	9.99	109.0
KSLA-0004~0005	2000.0	98.0	320.0	15.99	199.0
KSLA-0006	2000.0	83.0	280.0	13.99	149.0
KSLA-0007	450.0	18.0	60.0	2.97	45.0
KSLA-0008	600.0	24.0	80.0	3.96	60.0
KSLA-0009	900.0	36.0	120.0	5.94	90.0
KSLA-0010	1200.0	48.0	160.0	7.99	89.0
KSLA-0011	1350.0	43.0	140.0	6.99	79.0
KSLA-0012~0014	2400.0	98.0	320.0	15.99	199.0
KSLA-0015	600.0	24.0	80.0	3.96	60.0
KSLA-0016~0017	1500.0	58.0	200.0	9.99	109.0
KSLA-0018	600.0	24.0	80.0	3.96	60.0
KSLA-0019	1500.0	73.0	240.0	11.99	109.0
KSLA-0020	1500.0	58.0	200.0	9.99	109.0
KSLA-0021	1200.0	48.0	160.0	7.99	89.0
KSLA-0023~0024	1500.0	58.0	200.0	9.99	109.0
KSLA-0025	1050.0	43.0	140.0	6.99	79.0
KSLA-0026	600.0	23.0	80.0	3.99	59.0
KSLA-0027	1050.0	38.0	120.0	5.99	69.0
KSLA-0028	900.0	36.0	120.0	5.94	90.0
KSLA-0029	1050.0	38.0	120.0	5.99	69.0
KSLA-0030~0031	1200.0	48.0	160.0	7.99	89.0
KSLA-0032	1500.0	53.0	180.0	8.99	99.0
KSLA-0033~0035	2000.0	98.0	320.0	15.99	199.0
KSLA-0036	600.0	23.0	80.0	3.99	59.0
KSLA-0037	1200.0	58.0	200.0	9.99	109.0
KSLA-0038	600.0	24.0	80.0	3.96	60.0
KSLA-0039~0040	1500.0	63.0	220.0	10.99	119.0
KSLA-0042	1350.0	48.0	160.0	7.99	89.0
KSLA-0043	1350.0	83.0	280.0	13.99	149.0
KSLA-0044	450.0	18.0	60.0	2.99	49.0
KSLA-0045~0046	2200.0	98.0	320.0	15.99	199.0
KSLA-0047	600.0	30.0	100.0	4.95	75.0
KSLA-0048	1200.0	43.0	140.0	6.99	79.0
KSLA-0049	600.0	42.0	140.0	6.93	105.0
KSLA-0050	600.0	23.0	80.0	3.99	59.0
KSLA-0051	600.0	18.0	60.0	2.97	45.0
KSLA-0052	600.0	18.0	60.0	2.97	45.0
KSLA-0053~0054	750.0	23.0	80.0	3.99	59.0
KSLA-0055	600.0	18.0	60.0	2.97	45.0
KSLA-0056	600.0	23.0	80.0	3.99	49.0
KSLA-0058	1650.0	53.0	180.0	8.99	99.0
KSLA-0059~60	2000.0	98.0	320.0	15.99	199.0
KSLA-0061~0063	2400.0	98.0	320.0	15.99	199.0
KSLA-0064	1050.0	18.0	60.0	2.99	49.0
KSLA-0065	600.0	18.0	60.0	2.97	45.0
KSLA-0067	600.0	18.0	60.0	2.99	49.0
KSLA-0068	1200.0	53.0	180.0	8.99	99.0
KSLA-0069	450.0	18.0	60.0	2.99	49.0
KSLA-0070	1800.0	53.0	180.0	8.99	99.0
KSLA-0073~0075	2200.0	63.0	220.0	10.99	119.0
KSLA-0076	1500.0	43.0	140.0	6.99	79.0
KSLA-0077	1500.0	98.0	320.0	15.99	199.0
KSLA-0078	1350.0	58.0	200.0	9.99	109.0
KSLA-0079	1800.0	58.0	200.0	9.99	109.0
KSLA-0080	600.0	18.0	60.0	2.97	45.0
KSLA-0081	2000.0	63.0	220.0	10.99	119.0
KSLA-0082~0083	2000.0	73.0	240.0	11.99	129.0
KSLA-0084	1500.0	48.0	160.0	7.99	99.0
KSLA-0087~0088	900.0	28.0	100.0	4.99	69.0
KSLA-0089	1500.0	48.0	160.0	7.99	89.0
KSLA-0090	1800.0	58.0	200.0	9.99	109.0
KSLA-0091	1800.0	53.0	180.0	8.99	99.0
KSLA-0092	750.0	23.0	80.0	3.99	59.0
KSLA-0093	750.0	23.0	80.0	3.99	59.0
KSLA-0103~104	750.0	23.0	80.0	3.99	59.0
KSLA-0105	750.0	24.0	90.0	3.87	57.0
KSLA-0106	1050.0	38.0	120.0	5.99	69.0
KSLA-0108	1500.0	48.0	160.0	7.99	89.0
KSLA-0109	1500.0	48.0	160.0	7.99	89.0
KSLA-0110~111	2400.0	98.0	320.0	15.99	199.0
KSLA-0117	1050.0	38.0	120.0	5.99	69.0
KSLA-0118	1050.0	38.0	120.0	5.99	69.0
KSLA-0119	900.0	28.0	100.0	4.99	69.0
KSLA-0120	1050.0	38.0	120.0	5.99	69.0
KSLA-0121	1050.0	38.0	120.0	5.99	69.0
KSLA-0122~0123	2400.0	98.0	320.0	15.99	199.0
KSLM-0097	1500.0	58.0	200.0	9.99	109.0
===================
Total Price	97700.0	3736.0	12490.0	622.63	7523.0
Track Count	1034	1034	1034	1034	1034
